Card_ID,Customer_ID,Account_ID,Branch,Card_Number,Card_Type,Card_Network,Credit_Limit,Current_Balance,Issued_Date,Expiry_Date,Status
33,1088,2255,Rogers Group Branch,4186999386774964,Silver,Visa,475272,267501.9,2016-09-13,2020-07-14,Expired
34,1161,2246,Johnson Group Branch,4281206797403447,Silver,Visa,377950,79756.97,2023-07-22,2027-09-19,Expired
35,1436,2118,"Williams, Mcfarland and Alvarez Branch",5832421024994717,Platinum,MasterCard,359219,237509.51,2017-12-19,2024-06-20,Expired
36,1041,2443,Weaver-Brown Branch,3594013990490278,Business,Amex,333105,164485.66,2018-01-20,2023-11-09,Blocked
37,1482,2357,"Andrade, Gomez and Bishop Branch",5655125674680715,Platinum,MasterCard,382810,311701.11,2021-07-25,2027-01-02,Blocked
38,1556,2474,Crawford-Torres Branch,4603859770348247,Business,Visa,319796,263808.42,2023-08-31,2028-12-04,Active
39,1319,2565,"Woods, Patterson and Owens Branch",4086131712748467,Business,Visa,469070,112247.26,2022-01-24,2028-06-22,Active
40,1072,2283,"Lam, Jones and Ortega Branch",3658404499727875,Platinum,Amex,251109,47863.98,2021-03-07,2024-12-27,Expired
41,1586,2393,"Bell, Parker and Owen Branch",3360576627028951,Business,Amex,148908,146045.19,2020-02-09,2024-11-28,Active
42,1077,2481,"Medina, Reeves and Booker Branch",3459615865780913,Platinum,Amex,264946,230750.21,2015-03-04,2018-12-23,Active
43,1455,2171,Warner-Shelton Branch,4400504556238692,Gold,Visa,448652,284332.23,2019-11-13,2023-06-01,Active
44,1598,2147,Johnson-Wright Branch,4374740748217594,Business,Visa,374906,256111.25,2021-11-01,2026-12-23,Expired
45,1110,2243,"Lopez, Santana and Johnson Branch",6695944064090974,Gold,RuPay,154447,154350.25,2020-02-15,2024-10-24,Expired
46,1100,2041,Pearson-Roberts Branch,6470952145623285,Platinum,RuPay,149683,92936.85,2017-06-16,2024-01-09,Active
47,1480,2078,"Schroeder, Lane and Arnold Branch",6236851604817549,Business,RuPay,441412,384203.66,2020-05-27,2025-01-20,Expired
48,1227,2065,Nguyen Inc Branch,6746120047113826,Business,RuPay,172590,81372.19,2016-03-19,2022-12-30,Blocked
49,1418,2287,Peters PLC Branch,3053773515850643,Silver,Amex,267518,175203.4,2021-08-02,2025-06-13,Blocked
50,1052,2342,"Jordan, Stokes and Mayer Branch",4329318393352904,Gold,Visa,386437,247123.72,2022-06-07,2026-08-14,Active
51,1135,2016,Wood-Bell Branch,6539502402681177,Platinum,RuPay,107633,71151.62,2023-12-15,2027-12-06,Expired
52,1534,2309,Morales Group Branch,4700766177115921,Gold,Visa,166155,157085.54,2020-01-26,2025-11-21,Blocked
53,1441,2102,Harris-Marshall Branch,6183673657661565,Platinum,RuPay,328164,96774.82,2019-04-10,2025-08-14,Blocked
54,1096,2443,Zimmerman PLC Branch,5152809885165604,Platinum,MasterCard,85197,7772.08,2022-09-14,2028-05-11,Blocked
55,1230,2111,Salazar Group Branch,4585149368998094,Silver,Visa,161536,24994.49,2021-06-25,2027-04-29,Active
56,1147,2580,Cunningham Inc Branch,6612018366752545,Silver,RuPay,228165,80091.26,2022-11-18,2027-08-11,Active
57,1454,2435,"Sloan, Williams and Adkins Branch",5797643815614978,Platinum,MasterCard,76089,51281.61,2016-10-06,2023-03-24,Active
58,1217,2141,"Steele, Marsh and Richardson Branch",5445107622683885,Silver,MasterCard,78721,605.14,2019-06-07,2025-10-15,Blocked
59,1590,2440,"Smith, Stewart and Howell Branch",4966416052975161,Gold,Visa,291043,268097.88,2019-11-22,2022-12-29,Blocked
60,1227,2342,Shepard Ltd Branch,3218188355231243,Gold,Amex,257495,224155.68,2020-11-16,2024-04-25,Expired
61,1476,2578,Nelson Ltd Branch,5979955271774490,Platinum,MasterCard,89506,15855.64,2023-07-11,2030-03-13,Expired
62,1294,2079,Richardson-Griffith Branch,4199867980793597,Gold,Visa,286933,10790.76,2018-06-25,2024-01-25,Active
63,1041,2254,Clark-Williams Branch,3778892554665905,Silver,Amex,424507,35798.31,2016-02-28,2021-01-30,Blocked
64,1342,2084,"Gillespie, Powers and Smith Branch",4925462914865281,Business,Visa,252670,71795.42,2021-04-04,2028-01-22,Expired
65,1350,2498,Santiago and Sons Branch,6332214188805929,Business,RuPay,211934,38203.84,2015-03-16,2020-03-26,Active
66,1449,2045,"Mathews, Rodriguez and Lambert Branch",5653794738347359,Business,MasterCard,454277,283805.23,2017-01-10,2023-11-28,Blocked
67,1205,2142,Johnson Group Branch,6407581814124782,Business,RuPay,313667,165446.73,2023-09-23,2028-11-12,Active
68,1515,2383,Delgado Ltd Branch,5361530515220472,Business,MasterCard,63982,26545.93,2020-01-22,2025-01-05,Blocked
69,1562,2541,"Gillespie, Powers and Smith Branch",4614341036971179,Silver,Visa,184177,39718.64,2015-11-21,2018-12-28,Expired
70,1247,2585,"Higgins, Michael and Harris Branch",5621851888880670,Business,MasterCard,202710,87011.02,2023-01-22,2026-11-11,Blocked
71,1247,2107,Rogers-King Branch,6952058527722170,Platinum,RuPay,237220,187052.72,2023-05-20,2026-06-21,Active
72,1528,2408,Anderson-Dunn Branch,4874034505415667,Business,Visa,71970,22713.43,2023-11-15,2027-12-27,Blocked
73,1085,2435,Newman-Peterson Branch,5169284511544796,Gold,MasterCard,310845,114187.96,2020-07-25,2027-06-11,Expired
74,1446,2282,"Higgins, Michael and Harris Branch",3016582029702135,Platinum,Amex,72206,52480.36,2018-12-10,2024-06-11,Blocked
75,1381,2455,Sullivan and Sons Branch,4192856543102786,Silver,Visa,406024,182679.36,2021-10-14,2025-08-23,Blocked
76,1503,2205,Hess-Miller Branch,6121727155188442,Gold,RuPay,162496,161905.35,2022-11-23,2028-05-23,Blocked
77,1027,2370,Nelson Ltd Branch,5895782911467866,Silver,MasterCard,465270,64615.24,2016-05-12,2020-06-26,Active
78,1132,2565,Stevens-Braun Branch,6922680182422535,Platinum,RuPay,285916,133189.17,2022-03-16,2025-08-13,Active
79,1547,2096,"Miller, Brown and Hoffman Branch",6829922995900109,Platinum,RuPay,338799,92983.74,2017-03-15,2023-10-05,Expired
80,1510,2559,"Holmes, Nguyen and French Branch",5447364710276773,Platinum,MasterCard,268411,165907.1,2023-08-08,2029-10-21,Expired
81,1409,2134,Rogers-King Branch,5588153714732104,Business,MasterCard,434932,429722.98,2018-07-04,2023-04-17,Expired
82,1195,2164,"Smith, Stewart and Howell Branch",3787747016873395,Silver,Amex,476496,156021.86,2017-10-13,2021-09-04,Active
83,1293,2550,Robinson-Stokes Branch,6016245650609835,Platinum,RuPay,491895,321827.24,2020-07-20,2026-11-24,Active
84,1132,2100,Burgess-Mcdonald Branch,3655852398680002,Platinum,Amex,450767,247857.43,2020-08-27,2026-03-06,Blocked
85,1167,2403,Hartman-Vargas Branch,3949588879470551,Business,Amex,320273,44768.08,2016-09-02,2023-01-25,Expired
86,1272,2593,Johnson and Sons Branch,6930972896230913,Silver,RuPay,379913,10123.6,2023-12-08,2030-10-16,Blocked
87,1514,2483,"Long, Chavez and Whitehead Branch",6028385786527858,Platinum,RuPay,266510,184025.22,2019-09-12,2023-07-18,Expired
88,1572,2306,Moore-Schaefer Branch,6344375758441986,Business,RuPay,150801,144367.44,2021-11-03,2027-07-21,Blocked
89,1355,2453,"Nguyen, Skinner and Le Branch",5473384842199330,Gold,MasterCard,200801,191827.95,2018-04-04,2021-06-28,Expired
90,1103,2141,Curtis-Diaz Branch,5082677345401938,Silver,MasterCard,266688,88085.35,2015-08-04,2019-02-24,Active
91,1191,2297,"Ortiz, Peck and Meza Branch",3004991547887287,Platinum,Amex,488411,193896.52,2016-12-21,2020-03-04,Active
92,1191,2015,Horton-Jimenez Branch,4549329668516122,Business,Visa,433317,198855.44,2018-09-16,2022-08-13,Blocked
93,1338,2310,Newman-Peterson Branch,5990453017426841,Platinum,MasterCard,251103,59140.09,2015-01-28,2019-07-15,Blocked
94,1426,2563,Brown LLC Branch,5783391878519108,Gold,MasterCard,300705,46063.67,2017-06-16,2021-03-15,Expired
95,1211,2598,Coleman-Riggs Branch,5718707286790874,Silver,MasterCard,497996,259128.01,2016-11-04,2021-09-05,Blocked
96,1353,2066,Smith Group Branch,6801704622656766,Silver,RuPay,353201,25794.1,2015-01-13,2019-04-03,Expired
97,1542,2131,Atkins-Gay Branch,5300478686337524,Gold,MasterCard,112197,20024.21,2022-04-30,2027-04-11,Expired
98,1247,2212,Wolf-Harmon Branch,4119079030673830,Gold,Visa,269802,165907.51,2015-05-12,2022-01-22,Expired
99,1243,2310,Williams-Thomas Branch,6283644089268705,Business,RuPay,217197,125425.8,2017-08-17,2023-11-08,Expired
100,1189,2551,Davis-Long Branch,6733427086688263,Platinum,RuPay,264045,39400.16,2022-10-23,2028-02-21,Active
101,1549,2196,Pena-Anderson Branch,6046990139837354,Silver,RuPay,285817,242125.12,2022-04-02,2025-09-09,Active
102,1249,2210,Vaughn Ltd Branch,5638546785445877,Silver,MasterCard,441579,441390.01,2023-04-26,2026-12-21,Expired
103,1047,2577,Smith-Jacobson Branch,3320489964235369,Gold,Amex,156497,58014.21,2023-07-17,2028-05-01,Blocked
104,1472,2173,Bright Group Branch,6522872808010062,Gold,RuPay,429352,275512.8,2017-11-20,2023-08-16,Active
105,1495,2500,Andrews-Marquez Branch,5008860084840862,Silver,MasterCard,315149,143710.99,2015-02-07,2019-04-29,Active
106,1274,2407,Tapia-Flynn Branch,5156793341016668,Business,MasterCard,374943,197390.99,2017-09-14,2021-10-11,Active
107,1340,2580,Rodriguez LLC Branch,4180339740148902,Platinum,Visa,93351,46662.28,2022-11-18,2026-11-02,Active
108,1079,2307,"Owens, Hanson and Vincent Branch",5293968562185016,Gold,MasterCard,444397,364712.5,2021-08-01,2025-05-22,Active
109,1031,2280,"Powell, Jones and Hamilton Branch",6773586629619431,Silver,RuPay,362270,143713.61,2021-10-14,2028-03-23,Blocked
110,1325,2370,Smith Ltd Branch,5110475412126788,Business,MasterCard,460984,292218.16,2019-04-06,2026-04-01,Active
111,1395,2013,"Solis, Simpson and Martin Branch",4466183982622444,Business,Visa,340570,31694.9,2016-01-03,2020-12-26,Active
112,1079,2370,"Walton, Hodges and Galloway Branch",4437993712406596,Platinum,Visa,194683,81981.47,2016-11-15,2022-04-23,Blocked
113,1206,2491,Williams-Thomas Branch,6526547935646519,Gold,RuPay,361633,49227.1,2019-10-30,2026-06-23,Expired
114,1215,2449,"Nelson, Hardy and Fox Branch",5416724342661797,Business,MasterCard,64111,61098.08,2022-08-24,2028-09-22,Expired
115,1112,2255,Zimmerman PLC Branch,3529096561014388,Gold,Amex,464565,449897.77,2021-02-04,2024-04-19,Blocked
116,1155,2354,Frazier and Sons Branch,6071461125457387,Platinum,RuPay,454929,309149.5,2019-05-22,2024-12-24,Blocked
117,1046,2118,Clark-Smith Branch,4051238282586736,Gold,Visa,287212,91594.63,2019-11-30,2026-10-25,Active
118,1461,2440,"Williams, Mcfarland and Alvarez Branch",3603341918255371,Platinum,Amex,436603,268120.93,2019-06-09,2022-08-06,Expired
119,1117,2357,"Morrison, Morrison and Camacho Branch",3579249912513412,Platinum,Amex,214314,127939.21,2020-12-01,2027-07-01,Expired
120,1434,2191,Russell LLC Branch,5782827422579050,Business,MasterCard,269277,160603.75,2020-09-23,2025-11-26,Active
121,1504,2426,Carroll-Robinson Branch,5772190340438427,Business,MasterCard,314995,205713.71,2019-04-22,2025-06-14,Expired
122,1556,2043,Burke-Barr Branch,4783613407451713,Gold,Visa,190450,147620.28,2021-06-03,2025-01-21,Expired
123,1212,2212,Chen Ltd Branch,6095849825449481,Gold,RuPay,381754,163454.49,2022-12-21,2029-05-22,Blocked
124,1256,2150,"Flores, French and Freeman Branch",4536729466711684,Platinum,Visa,116525,81733.73,2018-02-09,2024-10-13,Blocked
125,1470,2367,Mason Group Branch,3186363745458929,Business,Amex,51296,44571.49,2018-09-02,2024-12-05,Blocked
126,1017,2128,"Beck, Howe and Perry Branch",4277063242415415,Gold,Visa,378298,296543.93,2015-07-08,2019-01-26,Active
127,1440,2094,Velez LLC Branch,3103712938700516,Gold,Amex,430626,301197.64,2022-01-06,2026-09-22,Blocked
128,1106,2321,Perez Ltd Branch,4542622189092753,Gold,Visa,96835,70763.47,2017-07-26,2022-09-17,Blocked
129,1394,2360,Black-Schmidt Branch,3652341389994043,Gold,Amex,102672,14375.43,2017-06-08,2020-12-01,Expired
130,1507,2396,Weaver-Clarke Branch,3137918055269658,Gold,Amex,78609,61613.86,2018-04-25,2024-12-07,Blocked
131,1041,2062,Gibson LLC Branch,4684866618892414,Silver,Visa,85406,1178.04,2015-03-10,2021-06-23,Expired
132,1318,2448,Rose-Macias Branch,5303161799042102,Silver,MasterCard,221311,86473.18,2016-09-28,2022-09-30,Active
133,1171,2381,Phillips PLC Branch,3241056481491778,Platinum,Amex,321173,251474.32,2018-11-21,2024-10-26,Active
134,1588,2119,"Smith, Arellano and Conrad Branch",3380003075622086,Gold,Amex,242774,38190.77,2021-05-10,2025-04-15,Blocked
135,1123,2515,Hurley-Reynolds Branch,5023806174451870,Platinum,MasterCard,192217,158770.66,2019-09-01,2024-06-16,Active
136,1378,2506,Parsons-Tucker Branch,6383206038505064,Silver,RuPay,437750,272594.6,2021-04-28,2026-01-09,Active
137,1287,2096,Garza-Norris Branch,5038657191826199,Silver,MasterCard,81402,79168.27,2019-09-16,2025-06-18,Blocked
138,1335,2326,Atkins-Gay Branch,5743132912127756,Silver,MasterCard,186834,158979.61,2017-08-27,2022-04-15,Expired
139,1123,2093,Alvarez-Hampton Branch,6249035213568044,Gold,RuPay,286934,88463.97,2023-08-22,2027-10-20,Active
140,1474,2105,"Potts, Gutierrez and Hancock Branch",3210032365199410,Silver,Amex,442208,243267.86,2020-01-27,2026-03-09,Active
141,1126,2044,Martin LLC Branch,3702966706625324,Platinum,Amex,494216,409881.09,2016-06-11,2019-12-16,Blocked
142,1511,2422,Bright Inc Branch,5870146263838065,Business,MasterCard,374626,231135.69,2015-05-22,2021-10-29,Expired
143,1185,2027,Cook PLC Branch,3593040785932133,Platinum,Amex,313398,100790.18,2018-11-10,2025-01-10,Expired
144,1364,2178,"Wong, Turner and Gordon Branch",4239559059929378,Platinum,Visa,351828,297824.19,2023-07-27,2027-10-18,Active
145,1021,2540,"Shepard, Gonzales and Cooper Branch",3705932525002921,Platinum,Amex,79448,18481.46,2015-06-05,2018-12-05,Active
146,1310,2331,"Butler, Sullivan and Torres Branch",6226752895392644,Gold,RuPay,257406,150844.21,2022-11-25,2029-08-11,Active
147,1187,2326,Lynch Ltd Branch,4939172513552157,Silver,Visa,255311,217207.61,2022-11-15,2029-01-30,Blocked
148,1002,2050,Hebert Group Branch,5676267658617932,Business,MasterCard,85543,29981.21,2017-10-19,2024-09-06,Active
149,1076,2351,Wheeler-Yates Branch,4262181599706296,Gold,Visa,217099,56690.56,2018-04-22,2021-06-01,Active
150,1289,2305,Alvarez-Hampton Branch,4310698720506149,Business,Visa,149606,61230.72,2018-09-18,2022-11-11,Active
151,1485,2119,Johnson Group Branch,4467741862565270,Platinum,Visa,139565,89069.08,2015-04-16,2019-06-12,Blocked
152,1155,2100,Patel-Villegas Branch,3158693806868793,Business,Amex,488870,131291.9,2017-12-14,2022-03-21,Blocked
153,1124,2460,Navarro-Moore Branch,4223320616329451,Silver,Visa,313245,178931.79,2019-06-06,2022-08-15,Blocked
154,1013,2536,James-Collier Branch,3616229991191485,Business,Amex,499117,137856.52,2021-03-11,2026-01-06,Blocked
155,1177,2283,Thomas LLC Branch,3629960653074505,Platinum,Amex,349904,213078.29,2022-05-06,2028-01-24,Blocked
156,1138,2308,"Miles, Patterson and Murray Branch",6754691373678508,Gold,RuPay,409059,40176.71,2020-07-06,2027-05-31,Active
157,1178,2198,Mitchell-Simmons Branch,6303070534578610,Gold,RuPay,261489,35470.94,2022-12-16,2028-10-17,Blocked
158,1565,2359,Johnson and Sons Branch,3524140602933334,Business,Amex,143104,137454.31,2021-08-30,2027-02-28,Expired
159,1178,2009,"Flores, French and Freeman Branch",4349446657437489,Business,Visa,54665,25916.52,2023-10-02,2030-07-29,Expired
160,1575,2290,"Jones, Page and Kennedy Branch",4417154544432830,Business,Visa,397265,383950.84,2015-01-31,2020-12-12,Expired
161,1303,2266,Johnson-Wright Branch,6666099353875842,Gold,RuPay,428160,10898.93,2022-08-20,2026-06-01,Blocked
162,1344,2092,"Morgan, Walker and Brown Branch",4353465549471709,Silver,Visa,438454,113406.94,2020-04-12,2023-12-30,Blocked
163,1424,2056,Johnson Ltd Branch,5223569725217525,Silver,MasterCard,406881,155293.95,2020-08-11,2024-04-12,Active
164,1502,2091,"Woods, Patterson and Owens Branch",3296666760083505,Gold,Amex,449084,347385.46,2018-01-25,2022-03-28,Active
165,1320,2133,Stevens-Braun Branch,4168942104478985,Business,Visa,168628,116947.69,2022-01-10,2026-06-02,Expired
166,1414,2020,Choi PLC Branch,5332309821506489,Silver,MasterCard,238350,178790.05,2018-11-04,2024-08-02,Expired
167,1119,2427,Simmons-Gardner Branch,4761847230461849,Gold,Visa,392657,328308.37,2022-06-04,2026-01-10,Blocked
168,1510,2204,"Sanchez, Cooper and Suarez Branch",4934835642087375,Gold,Visa,111726,31585.7,2020-09-26,2027-03-14,Active
169,1153,2093,Nelson Ltd Branch,4811437447012045,Platinum,Visa,107897,90119.04,2022-07-14,2026-01-11,Blocked
170,1337,2367,Gordon LLC Branch,4794155216674676,Gold,Visa,55071,46920.42,2016-01-25,2019-04-27,Active
171,1495,2583,Merritt PLC Branch,5729659027716701,Platinum,MasterCard,492682,78531.24,2022-10-22,2026-02-18,Expired
172,1347,2532,"Powell, Palmer and Martin Branch",6891637562890028,Business,RuPay,405429,212776.4,2015-02-20,2022-01-31,Blocked
173,1052,2520,Miller Inc Branch,5386631779717751,Business,MasterCard,218104,52539.47,2015-11-03,2021-08-04,Expired
174,1094,2312,"Wang, Mcdonald and Church Branch",4883755037589975,Business,Visa,266184,9537.89,2016-02-25,2021-05-30,Active
175,1299,2561,Watson Group Branch,4851027261493316,Gold,Visa,166259,365.26,2023-07-08,2030-03-17,Blocked
176,1127,2462,Pena-Walker Branch,5798270808697829,Gold,MasterCard,106500,80636.4,2023-01-14,2027-12-06,Expired
177,1517,2394,Byrd Ltd Branch,5693465472269848,Platinum,MasterCard,394730,237053.53,2016-02-29,2021-05-01,Expired
178,1136,2183,Rogers-King Branch,5885158799684608,Silver,MasterCard,377243,269496.57,2017-04-02,2021-06-04,Active
179,1165,2294,Newman-Peterson Branch,3420438057198386,Gold,Amex,401406,22721.5,2016-08-18,2019-12-04,Expired
180,1427,2321,Thomas PLC Branch,6800439735989334,Business,RuPay,74630,69143.56,2022-10-09,2029-06-29,Active
181,1042,2439,Massey-Reed Branch,4484229405720259,Silver,Visa,435393,223725.32,2017-02-04,2021-01-24,Expired
182,1539,2226,Shepherd-Rodriguez Branch,6281826886153355,Platinum,RuPay,338442,121191.2,2020-07-02,2026-09-16,Blocked
183,1118,2355,"Williams, Johnson and Williams Branch",5739930561648408,Platinum,MasterCard,328134,155816.79,2023-06-10,2029-11-26,Expired
184,1329,2527,"Marquez, Reese and Dawson Branch",3112880133613861,Gold,Amex,205416,184521.41,2020-06-16,2023-09-13,Active
185,1183,2258,Barton PLC Branch,3819346676650618,Silver,Amex,69863,6114.47,2023-01-15,2027-11-24,Expired
186,1367,2515,Hopkins-Johnston Branch,4144914766072832,Business,Visa,73863,51769.25,2023-06-24,2029-10-04,Expired
187,1012,2567,Brown LLC Branch,6821009968814353,Business,RuPay,206267,139702.38,2022-02-10,2025-12-01,Expired
188,1199,2118,Williamson-Hubbard Branch,5290878141413975,Platinum,MasterCard,165756,102252.38,2016-10-21,2020-10-31,Active
189,1326,2498,"Liu, Medina and Garza Branch",5759492995562053,Gold,MasterCard,374804,26164.65,2016-02-14,2020-09-18,Expired
190,1492,2474,Martin LLC Branch,3754781291428341,Silver,Amex,120414,81830.97,2018-02-07,2023-02-12,Active
191,1038,2565,"Lee, Escobar and Torres Branch",4488725639427881,Business,Visa,262407,201843.53,2021-07-11,2027-10-08,Blocked
192,1527,2144,"Mathews, Rodriguez and Lambert Branch",4722992750373145,Gold,Visa,494586,476781.04,2022-06-07,2026-10-08,Active
193,1048,2041,Clark Inc Branch,5518449892665918,Platinum,MasterCard,253472,119049.27,2020-10-22,2025-10-30,Blocked
194,1499,2494,Rogers-King Branch,5908272318432225,Silver,MasterCard,235020,192066.98,2020-10-16,2026-01-24,Expired
195,1491,2216,Vaughn Ltd Branch,5926030299228092,Silver,MasterCard,427621,48466.01,2019-08-26,2024-07-01,Active
196,1291,2088,Ramirez-Kennedy Branch,6379772369292984,Gold,RuPay,262575,157376.3,2017-01-07,2022-11-30,Expired
197,1395,2136,"Parrish, Hall and Adams Branch",6103886291279908,Silver,RuPay,359642,24758.8,2020-02-01,2026-06-05,Active
198,1442,2535,Crawford-Torres Branch,3650863765991624,Business,Amex,366394,197591.15,2022-05-24,2026-02-13,Active
199,1006,2008,Smith and Sons Branch,4981806356512694,Platinum,Visa,335071,136925.66,2018-03-06,2024-07-12,Expired
200,1209,2424,Evans-Baker Branch,3887258874495621,Gold,Amex,370801,102178.12,2021-05-01,2026-05-18,Blocked
201,1564,2054,Nguyen LLC Branch,5260127961143519,Silver,MasterCard,316518,126784.74,2016-02-15,2020-04-28,Expired
202,1180,2507,Franklin and Sons Branch,3703843098839205,Gold,Amex,394024,205288.69,2019-06-30,2025-12-07,Expired
203,1405,2416,"Higgins, Michael and Harris Branch",4938011848955439,Gold,Visa,194670,151778.92,2016-10-06,2020-03-31,Blocked
204,1110,2573,"Meadows, Taylor and Butler Branch",3184518489476973,Platinum,Amex,186895,32713.13,2021-06-12,2024-06-20,Blocked
205,1392,2226,Lewis-Travis Branch,3356588043416518,Gold,Amex,302691,35193.37,2021-07-31,2024-09-24,Blocked
206,1511,2205,Davis-Hancock Branch,6334333395211179,Silver,RuPay,350790,94389.09,2018-12-19,2023-03-10,Expired
207,1503,2188,Myers-Hall Branch,4846392086780856,Gold,Visa,375408,118410.03,2020-05-29,2025-06-27,Blocked
208,1013,2216,Solomon Ltd Branch,4691559428434795,Platinum,Visa,291209,91920.49,2022-10-31,2028-09-25,Active
209,1374,2411,Hurley-Reynolds Branch,3472929314386632,Gold,Amex,269725,188999.71,2019-10-03,2023-12-07,Blocked
210,1499,2308,"Edwards, Dunlap and Fernandez Branch",4489061203471754,Platinum,Visa,311933,41946.16,2016-12-24,2022-05-05,Blocked
211,1591,2590,Perez Group Branch,6824558771694722,Platinum,RuPay,265881,32234.74,2018-11-10,2021-12-19,Blocked
212,1325,2299,Ramsey-Carr Branch,3496475987622023,Platinum,Amex,134934,46366.76,2015-10-20,2019-03-30,Expired
213,1485,2562,Stewart-Jones Branch,4006811492164334,Business,Visa,258166,26593.5,2017-05-12,2021-04-17,Expired
214,1366,2334,"Baker, Phillips and Cameron Branch",5778487282997968,Platinum,MasterCard,489624,83533.76,2016-06-21,2022-06-03,Blocked
215,1375,2423,"Warren, Tanner and Combs Branch",3424008254780774,Silver,Amex,471898,42260.36,2021-01-19,2025-04-28,Blocked
216,1194,2422,Brown LLC Branch,6866326634163894,Platinum,RuPay,467735,3376.1,2021-09-11,2025-12-27,Expired
217,1297,2114,"Lam, Jones and Ortega Branch",6797497350208021,Platinum,RuPay,497470,34058.76,2019-08-19,2023-09-07,Blocked
218,1155,2016,Evans-Clark Branch,5735647570512046,Silver,MasterCard,431213,3537.71,2023-01-08,2028-06-22,Expired
